MODULENAME;ELEMENTNAME1;ELEMENTNAME2;ELEMENTNAME3;DEPT_ATTACHEMENT
Algebre1;Algebre1;;;MI
Analyse1;Analyse1;;;MI
Physique1;Electrocinetique;Instrumentation1;;GEI
Mecanique1;Mecanique du point;;;GEI
Chimie1;Atomistique;Chimie Organique;;SIC
LC1;Francais1;Activites d ouvertures1;;SIC
Algebre2;Algebre2;;;MI
Analyse2;Analyse2;;;MI
Physique2;Electrostatique;Magnetostatique;;SIC
Physique3;Optique geometrique;Optique Physique;;SIC
Info1;Calcul Formel;Outils Statistiques;Algebre de Bool et SN ;SIC
LC2;Francais2 ;Anglais1;Sport;SIC